id_deputado,nome,partido,uf,uri
220667,Pedro Campos,PSB,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/220667
229112,Pedro Jr,PL,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/229112
122974,Pedro Lucas Fernandes,UNIÃO,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/122974
204395,Pedro Lupion,PP,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204395
122158,Pedro Paulo,PSD,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/122158
229259,Pedro Tourinho,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/229259
160604,Pedro Uczai,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/160604
204406,Pedro Westphalen,PP,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/204406
161440,Pezenti,MDB,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/161440
204524,Pinheirinho,PP,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204524
73486,Pompeo de Mattos,PDT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/73486
160601,Pr. Marco Feliciano,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160601
226075,Priscila Costa,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/226075
89536,Prof. Paulo Fernando,REPUBLICANOS,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/89536
220533,Prof. Reginaldo Veras,PV,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/220533
204390,Professor Alcides,PL,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/204390
220580,Professora Goreth,PDT,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220580
221338,Professora Luciene Cavalcante,PSOL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/221338
160641,Professora Marcivania,PCdoB,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/160641
220586,Rafael Brito,MDB,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/220586
233594,Rafael Fera,PODE,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/233594
220532,Rafael Prudente,MDB,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/220532
220626,Rafael Simoes,UNIÃO,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220626
204567,Raimundo Costa,PODE,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204567
74084,Raimundo Santos,PSD,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/74084
115200,Raniery Paulino,REPUBLICANOS,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/115200
74161,Reginaldo Lopes,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/74161
221378,Reginete Bispo,PT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/221378
220606,Reimont,PT,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220606
205865,Reinhold Stephanes,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/205865
225386,Renan Ferreirinha,PSD,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/225386
178989,Renata Abreu,PODE,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178989
153423,Renilce Nicodemos,MDB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/153423
73801,Renildo Calheiros,PCdoB,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/73801
175765,Ribamar Silva,PSD,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/175765
235088,Ribeiro Neto,PATRIOTA,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/235088
221329,Ricardo Abrão,UNIÃO,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/221329
220543,Ricardo Ayres,REPUBLICANOS,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/220543
73788,Ricardo Barros,PP,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/73788
234310,Ricardo Galvão,REDE,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/234310
204362,Ricardo Guidi,PSD,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/204362
220694,Ricardo Maia,MDB,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/220694
220633,Ricardo Salles,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220633
213274,Ricardo Silva,PSD,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/213274
204489,Robério Monteiro,PDT,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204489
220693,Roberta Roma,PL,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/220693
220588,Roberto Duarte,REPUBLICANOS,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/220588
220613,Roberto Monteiro,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220613
220624,Robinson Faria,PL,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/220624
